index,beer/ABV,beer/beerId,beer/brewerId,beer/name,beer/style,review/appearance,review/aroma,review/overall,review/palate,review/taste,review/text,review/timeStruct,review/timeUnix,user/ageInSeconds,user/birthdayRaw,user/birthdayUnix,user/gender,user/profileName
34,10.7,4426,2124,Beer_34,Style_4,1.9,2.3,1.4,1.1,2.0,Sample review text 34,{},1565392157,1285495046,1990-06-14,1028648795,,User_34
35,4.4,1528,2271,Beer_35,Style_5,2.0,4.2,2.3,4.1,4.9,Sample review text 35,{},1539880722,1038104150,1991-02-14,1057307843,Female,User_35
36,4.6,2924,1655,Beer_36,Style_6,4.6,1.7,2.4,1.3,3.4,Sample review text 36,{},1432814949,1653829216,1997-01-18,881359032,Other,User_36
37,7.6,7460,1557,Beer_37,Style_7,3.1,3.0,1.2,1.6,1.9,Sample review text 37,{},1428858434,1630842618,1990-07-17,851231985,Female,User_37
38,10.0,6976,2630,Beer_38,Style_8,2.9,3.8,1.5,3.3,3.0,Sample review text 38,{},1235656241,1782874813,1992-05-15,726829387,Female,User_38
39,5.0,7021,1655,Beer_39,Style_9,3.8,3.6,1.8,3.4,1.9,Sample review text 39,{},1247786287,1607600399,1992-01-12,1014354199,,User_39
40,3.5,1862,703,Beer_40,Style_0,4.8,3.4,4.4,3.7,4.9,Sample review text 40,{},1499667458,1659355940,1991-01-17,652998048,Female,User_40
41,7.9,5320,2322,Beer_41,Style_1,1.4,4.7,1.3,2.6,4.4,Sample review text 41,{},1687462977,1085417714,1997-02-15,1075509506,Other,User_41
42,9.2,4494,1859,Beer_42,Style_2,4.3,1.9,2.2,4.1,1.1,Sample review text 42,{},1532762778,1280464904,1994-06-11,918847235,Female,User_42
43,5.2,7052,1461,Beer_43,Style_3,3.3,3.0,1.0,4.9,4.8,Sample review text 43,{},1603039702,1492290998,1994-04-18,969313437,,User_43
44,9.7,9259,941,Beer_44,Style_4,1.6,4.5,3.8,2.1,3.9,Sample review text 44,{},1044070761,1778095515,1990-06-16,643990725,Male,User_44
45,11.6,2642,1815,Beer_45,Style_5,2.2,1.3,3.5,3.8,1.3,Sample review text 45,{},1727545311,1352768139,1995-05-13,823675824,,User_45
46,4.2,6196,1648,Beer_46,Style_6,2.9,1.2,3.6,4.7,3.7,Sample review text 46,{},1038017506,1589420177,1994-01-14,706322589,Male,User_46
47,7.6,7999,2186,Beer_47,Style_7,3.8,1.9,2.5,3.7,3.6,Sample review text 47,{},1206049148,1876810458,1997-08-16,941836103,Female,User_47
48,3.5,8322,1370,Beer_48,Style_8,2.0,3.5,1.8,3.7,1.9,Sample review text 48,{},1720625407,1127493593,1993-02-14,1041185295,Male,User_48
49,4.9,4143,1698,Beer_49,Style_9,3.1,2.0,3.9,1.9,4.0,Sample review text 49,{},1683587857,1399748560,1996-06-12,950568197,,User_49
50,3.8,2470,2407,Beer_50,Style_0,3.7,1.8,4.2,3.1,1.3,Sample review text 50,{},1542488730,1090945055,1992-02-12,764130455,,User_50
51,6.6,6678,2015,Beer_51,Style_1,2.8,2.8,1.6,3.3,3.0,Sample review text 51,{},1344213130,1834694535,1990-05-18,955297010,Other,User_51
52,10.4,2382,579,Beer_52,Style_2,4.5,3.5,2.9,3.8,1.0,Sample review text 52,{},1522413222,1672026649,1991-04-12,778847195,Other,User_52
53,8.2,6396,1828,Beer_53,Style_3,4.5,2.0,2.0,5.0,4.9,Sample review text 53,{},1386042200,1795271319,1994-08-13,897357407,Male,User_53
54,5.0,8114,1867,Beer_54,Style_4,2.9,2.2,1.7,1.1,4.0,Sample review text 54,{},1425869190,1558065050,1994-08-15,970305112,Male,User_54
55,3.4,2705,1069,Beer_55,Style_5,4.9,3.5,3.9,1.3,1.6,Sample review text 55,{},1175880760,1528327374,1994-02-10,987239963,Other,User_55
56,8.0,6997,1614,Beer_56,Style_6,1.3,4.8,3.2,1.3,2.4,Sample review text 56,{},1336037761,940834779,1995-01-12,828011399,Female,User_56
57,4.2,7063,2716,Beer_57,Style_7,1.0,3.7,1.9,4.0,1.6,Sample review text 57,{},1435908901,1737262282,1991-06-12,986412451,Other,User_57
58,6.1,8962,2783,Beer_58,Style_8,2.5,4.1,2.2,1.5,4.1,Sample review text 58,{},1241838724,1403431846,1993-06-15,722302971,Female,User_58
59,7.6,9096,898,Beer_59,Style_9,3.4,2.5,4.9,3.5,1.2,Sample review text 59,{},1108787149,1490201010,1991-05-12,1007084936,Male,User_59
60,11.1,3594,1320,Beer_60,Style_0,3.5,2.1,4.4,2.3,4.4,Sample review text 60,{},1112202065,1029354056,1998-02-12,664764839,Male,User_60
61,3.7,2315,1344,Beer_61,Style_1,2.9,2.8,4.5,2.8,4.8,Sample review text 61,{},1503654851,1105040689,1998-04-10,984734548,,User_61
62,9.0,9139,1776,Beer_62,Style_2,1.5,4.2,2.8,1.9,3.7,Sample review text 62,{},1558659927,1741301292,1991-07-12,640882226,,User_62
63,3.1,9759,857,Beer_63,Style_3,1.7,2.8,3.5,4.5,1.9,Sample review text 63,{},1636256972,1848207615,1998-07-18,855200768,Female,User_63
64,8.7,3704,1922,Beer_64,Style_4,4.4,4.4,2.5,3.3,2.4,Sample review text 64,{},1689787644,861840672,1995-06-15,941766974,Female,User_64
65,8.0,6725,1020,Beer_65,Style_5,4.5,5.0,1.3,4.8,2.9,Sample review text 65,{},1688819896,1638352914,1992-05-13,717518708,Other,User_65
66,10.3,5691,892,Beer_66,Style_6,3.7,1.3,2.6,3.3,3.4,Sample review text 66,{},1708829920,1470044044,1998-01-10,829086147,Female,User_66
67,7.8,9839,2166,Beer_67,Style_7,3.7,1.2,3.4,1.5,3.7,Sample review text 67,{},1161450643,881106381,1997-07-18,740692297,Male,User_67
68,6.2,1124,1895,Beer_68,Style_8,3.4,1.6,2.1,1.7,3.2,Sample review text 68,{},1078233367,1231050207,1994-04-13,844690457,Male,User_68
69,5.2,6097,2700,Beer_69,Style_9,1.8,2.5,4.4,5.0,2.4,Sample review text 69,{},1610558178,1252897136,1991-01-14,664544039,Male,User_69
70,3.8,5807,1392,Beer_70,Style_0,2.7,1.5,1.6,3.9,4.6,Sample review text 70,{},1157011229,1386102293,1992-06-18,759586690,,User_70
71,7.8,2970,1483,Beer_71,Style_1,3.8,4.5,2.5,1.2,1.3,Sample review text 71,{},1197713588,1495419539,1998-04-14,792153835,Female,User_71
72,11.0,3762,1082,Beer_72,Style_2,3.1,1.1,1.5,3.8,2.9,Sample review text 72,{},1311017394,1010090080,1997-04-14,963994873,Female,User_72
73,7.6,6517,2455,Beer_73,Style_3,1.1,2.3,2.6,2.6,4.1,Sample review text 73,{},1154914924,1228735236,1996-07-16,981096584,,User_73
74,9.7,1814,519,Beer_74,Style_4,4.8,1.7,1.2,2.2,1.2,Sample review text 74,{},1274142121,834287741,1997-03-14,880387359,,User_74
75,5.7,4101,2473,Beer_75,Style_5,4.4,4.7,2.1,1.6,3.8,Sample review text 75,{},1626008029,1687215571,1990-03-18,975958850,,User_75
76,7.0,2654,2775,Beer_76,Style_6,2.0,3.7,2.6,4.4,4.3,Sample review text 76,{},1533706529,968932863,1998-07-16,1104401283,Male,User_76
77,5.9,1131,518,Beer_77,Style_7,3.5,4.6,2.9,1.3,3.6,Sample review text 77,{},1541638246,1332876365,1995-05-14,1096007813,Female,User_77
78,4.0,9422,2991,Beer_78,Style_8,4.7,4.9,3.2,2.2,1.1,Sample review text 78,{},1501507700,941754073,1994-07-12,986717896,Other,User_78
79,6.8,1394,2915,Beer_79,Style_9,1.4,3.0,2.1,2.2,1.7,Sample review text 79,{},1094127947,706739290,1990-06-17,985317529,Other,User_79
80,9.9,8319,2142,Beer_80,Style_0,3.0,1.9,3.1,1.6,2.4,Sample review text 80,{},1515922741,1043462809,1991-08-17,853613825,Female,User_80
81,6.6,4573,1388,Beer_81,Style_1,2.8,1.8,3.0,3.0,1.9,Sample review text 81,{},1247593353,1045833964,1997-02-12,1095139649,Female,User_81
82,8.9,8106,2383,Beer_82,Style_2,2.6,1.9,2.3,1.0,4.9,Sample review text 82,{},1125648338,704421590,1997-08-13,1088485105,,User_82
83,9.8,6625,1225,Beer_83,Style_3,4.3,3.8,4.3,2.2,3.6,Sample review text 83,{},1683877284,1583148523,1992-03-18,911298516,,User_83
84,5.9,5628,646,Beer_84,Style_4,2.5,1.2,3.2,4.7,2.2,Sample review text 84,{},1699537852,883654894,1997-02-11,768457634,Male,User_84
85,10.2,6060,2216,Beer_85,Style_5,1.3,1.2,2.3,2.2,4.7,Sample review text 85,{},1665417951,1428685416,1997-03-12,769892849,,User_85
86,6.1,8747,2027,Beer_86,Style_6,1.3,3.4,4.8,2.4,4.0,Sample review text 86,{},1292273614,614443690,1995-05-17,632188858,Female,User_86
87,5.3,7269,2977,Beer_87,Style_7,1.2,3.6,4.4,2.9,2.1,Sample review text 87,{},1153745428,1147240221,1998-03-16,993358245,Male,User_87
88,5.0,7632,1347,Beer_88,Style_8,2.6,3.7,4.9,3.2,2.5,Sample review text 88,{},1091188610,1506606589,1995-06-10,677798816,Other,User_88
89,4.8,7755,1963,Beer_89,Style_9,3.9,2.5,3.8,4.2,1.8,Sample review text 89,{},1247551623,1515613638,1994-06-17,914370296,Female,User_89
90,9.6,7589,2745,Beer_90,Style_0,1.8,4.2,2.5,1.8,4.9,Sample review text 90,{},1242873669,1232719100,1995-04-10,931625742,Other,User_90
91,11.0,6589,1810,Beer_91,Style_1,3.6,3.1,2.1,4.5,3.1,Sample review text 91,{},1017285586,1771032563,1994-05-14,1102064202,Female,User_91
92,5.1,3504,1064,Beer_92,Style_2,3.7,1.4,3.7,4.0,4.6,Sample review text 92,{},1230962400,1844540315,1992-08-18,683649609,Female,User_92
93,3.8,4033,868,Beer_93,Style_3,2.0,4.2,4.9,3.9,2.4,Sample review text 93,{},1125527514,1239225470,1995-06-11,905407245,Male,User_93
94,5.8,9903,1763,Beer_94,Style_4,3.4,4.8,3.5,1.3,4.4,Sample review text 94,{},1605960971,1084749940,1991-06-17,854858561,Male,User_94
95,8.9,3976,1810,Beer_95,Style_5,3.7,1.2,4.5,1.1,1.2,Sample review text 95,{},1389722569,1611652039,1991-01-18,720467116,,User_95
96,6.3,2471,2318,Beer_96,Style_6,2.9,2.6,2.3,3.4,4.9,Sample review text 96,{},1703154815,746114840,1993-04-13,862378159,Female,User_96
97,7.9,7595,2387,Beer_97,Style_7,2.3,3.0,2.6,4.5,4.6,Sample review text 97,{},1203986132,573835941,1994-08-11,783795499,Female,User_97
98,9.7,2142,559,Beer_98,Style_8,3.5,1.6,4.6,3.3,2.5,Sample review text 98,{},1496391104,1890333560,1994-06-11,852821493,Male,User_98
99,6.7,3568,1044,Beer_99,Style_9,4.9,4.5,4.0,1.9,4.1,Sample review text 99,{},1337864160,1620853337,1997-01-16,894170916,Other,User_99
100,12.0,2608,2850,Beer_100,Style_0,2.7,2.1,4.9,1.4,4.0,Sample review text 100,{},1729263999,655602305,1992-04-17,922563186,,User_100
101,5.7,6552,1767,Beer_101,Style_1,2.6,4.1,4.1,3.8,4.6,Sample review text 101,{},1164135091,675250692,1992-04-16,668446620,Female,User_101
102,11.8,2897,2207,Beer_102,Style_2,2.9,3.7,2.8,3.9,2.2,Sample review text 102,{},1607365657,1127016636,1990-08-18,690106978,Male,User_102
103,4.8,3192,1730,Beer_103,Style_3,1.3,3.4,3.1,1.7,2.9,Sample review text 103,{},1414246933,763911165,1995-03-16,881691508,Female,User_103
104,4.0,2091,2830,Beer_104,Style_4,3.2,1.8,4.6,1.1,4.5,Sample review text 104,{},1388207960,1774048203,1994-08-17,729384147,Male,User_104
105,9.8,1699,1545,Beer_105,Style_5,2.3,1.9,3.2,2.6,4.1,Sample review text 105,{},1409360960,772122725,1998-06-13,754606676,,User_105
106,9.3,5092,1058,Beer_106,Style_6,1.5,1.2,2.0,3.3,2.6,Sample review text 106,{},1544771092,1542351907,1991-03-14,996677921,Other,User_106
107,10.3,3178,2896,Beer_107,Style_7,2.9,2.0,2.7,3.8,4.4,Sample review text 107,{},1662631144,618659292,1997-04-11,943212602,Female,User_107
108,6.1,1732,2012,Beer_108,Style_8,1.0,2.4,3.1,4.2,1.2,Sample review text 108,{},1518460823,1481641058,1994-06-18,825634288,Female,User_108
109,11.4,9704,2467,Beer_109,Style_9,2.6,4.3,1.4,3.4,4.1,Sample review text 109,{},1005629414,1068040816,1991-07-17,815214324,,User_109
110,4.1,3687,1169,Beer_110,Style_0,1.4,2.5,4.0,1.4,1.8,Sample review text 110,{},1675786255,794594084,1992-08-13,1052354218,Other,User_110
111,3.3,4756,757,Beer_111,Style_1,1.1,4.0,1.4,3.7,2.1,Sample review text 111,{},1280489164,1660880276,1993-04-16,903664672,Female,User_111
112,5.7,7061,1570,Beer_112,Style_2,4.3,2.8,2.6,4.9,3.0,Sample review text 112,{},1187566751,732355931,1994-04-16,654483858,,User_112
113,10.2,9623,1550,Beer_113,Style_3,4.7,4.1,4.2,4.6,2.8,Sample review text 113,{},1341033111,683971411,1992-07-18,923586695,Female,User_113
114,9.1,7534,1550,Beer_114,Style_4,1.8,4.9,2.9,4.5,3.1,Sample review text 114,{},1599352010,1070065917,1994-04-12,788623390,Female,User_114
115,6.9,6385,2504,Beer_115,Style_5,3.2,2.0,4.4,2.2,3.2,Sample review text 115,{},1058256462,925630651,1991-07-16,896593290,,User_115
116,5.3,5494,644,Beer_116,Style_6,2.1,4.4,2.4,4.0,2.3,Sample review text 116,{},1598391689,1811668131,1994-04-11,871185799,,User_116
117,3.5,2279,1300,Beer_117,Style_7,3.0,3.5,4.8,4.4,1.7,Sample review text 117,{},1680780024,1825346508,1991-07-16,768248816,Male,User_117
118,6.0,7538,1985,Beer_118,Style_8,2.7,4.3,1.8,3.7,4.1,Sample review text 118,{},1497930626,1578898663,1993-06-13,1034699685,Male,User_118
119,7.1,3221,2929,Beer_119,Style_9,2.1,3.6,1.2,2.0,2.6,Sample review text 119,{},1642159030,1011393034,1993-03-11,743160326,Female,User_119
120,9.2,6164,1172,Beer_120,Style_0,3.8,2.7,4.5,4.8,3.0,Sample review text 120,{},1589950223,1404418043,1998-01-17,1091592012,,User_120
121,8.8,1854,826,Beer_121,Style_1,1.5,1.9,4.0,2.8,3.6,Sample review text 121,{},1687683883,749282770,1995-07-16,781835558,Other,User_121
122,11.5,4212,1914,Beer_122,Style_2,1.2,1.3,1.9,1.5,4.6,Sample review text 122,{},1537101008,1265218334,1994-06-15,1008962154,Other,User_122
123,3.9,3586,1129,Beer_123,Style_3,4.1,3.1,4.9,1.4,3.8,Sample review text 123,{},1175492253,1765171364,1998-08-13,714122878,Female,User_123
124,6.0,5840,2519,Beer_124,Style_4,3.7,5.0,3.0,3.6,1.2,Sample review text 124,{},1510067694,1459635771,1994-04-10,1068296137,Male,User_124
125,7.3,3768,2631,Beer_125,Style_5,3.0,4.0,4.8,2.8,4.4,Sample review text 125,{},1280351352,1421211330,1995-05-13,681352937,,User_125
126,9.0,8228,2693,Beer_126,Style_6,2.9,2.3,3.0,1.4,5.0,Sample review text 126,{},1477834466,643598719,1995-04-14,1028338421,,User_126
127,7.5,4340,2528,Beer_127,Style_7,3.0,4.3,2.9,4.0,2.9,Sample review text 127,{},1351431076,1277726574,1992-02-15,1015576938,Male,User_127
128,11.2,6259,1694,Beer_128,Style_8,2.7,4.1,2.8,4.2,4.9,Sample review text 128,{},1087759803,962797802,1993-03-12,702472339,,User_128
129,8.5,7740,2524,Beer_129,Style_9,2.6,2.1,2.3,3.9,3.2,Sample review text 129,{},1541023180,1575470095,1997-04-18,922115664,Female,User_129
130,3.4,1275,1857,Beer_130,Style_0,3.0,1.1,3.1,1.8,2.8,Sample review text 130,{},1082030615,1722185260,1996-02-17,663961226,,User_130
131,4.0,8198,2971,Beer_131,Style_1,3.1,1.5,2.8,3.8,2.3,Sample review text 131,{},1368692965,1685243681,1994-07-16,643502095,,User_131
132,9.8,4863,2049,Beer_132,Style_2,3.8,4.5,1.1,1.0,3.6,Sample review text 132,{},1053477913,955783123,1994-08-11,967553380,Male,User_132
133,9.4,1714,1068,Beer_133,Style_3,3.8,4.3,2.0,2.2,1.9,Sample review text 133,{},1678018617,1756812404,1993-05-14,1028120489,Male,User_133
134,4.4,7054,2894,Beer_134,Style_4,2.5,2.2,1.9,2.6,1.4,Sample review text 134,{},1242297608,839240550,1995-05-10,1044879455,Other,User_134
135,3.5,1809,2445,Beer_135,Style_5,2.7,2.1,4.5,4.3,1.1,Sample review text 135,{},1277121661,1745972960,1990-07-12,1013071065,Female,User_135
136,8.2,4726,846,Beer_136,Style_6,2.5,4.2,3.4,2.6,2.2,Sample review text 136,{},1605886226,1293907405,1998-03-11,738317177,Male,User_136
137,8.7,4978,907,Beer_137,Style_7,3.1,4.8,4.1,1.0,2.6,Sample review text 137,{},1122772358,1337810210,1994-01-16,1071629235,Male,User_137
138,4.2,1036,632,Beer_138,Style_8,2.8,4.1,4.8,2.4,3.2,Sample review text 138,{},1335179733,1042716746,1997-02-14,780513060,Male,User_138
139,7.3,9114,1113,Beer_139,Style_9,4.6,3.4,3.6,3.0,2.2,Sample review text 139,{},1097950813,1560497653,1998-01-10,899167923,,User_139
140,5.8,9646,605,Beer_140,Style_0,3.8,2.0,4.9,4.8,4.9,Sample review text 140,{},1227212559,1019508307,1997-02-18,736335368,Female,User_140
141,11.4,4308,2718,Beer_141,Style_1,4.6,3.1,2.2,4.8,2.2,Sample review text 141,{},1277078499,1356934196,1998-04-11,653529890,Female,User_141
142,5.0,3655,761,Beer_142,Style_2,3.8,1.9,1.7,1.7,2.8,Sample review text 142,{},1125871108,1768439963,1992-02-10,981259842,,User_142
143,9.6,1981,993,Beer_143,Style_3,4.9,4.2,2.6,1.7,1.4,Sample review text 143,{},1591845532,788695717,1992-05-12,969195998,,User_143
144,7.7,7447,1974,Beer_144,Style_4,3.5,2.5,2.9,1.7,2.0,Sample review text 144,{},1312082483,1347790220,1992-02-15,744432489,Male,User_144
145,3.1,1151,789,Beer_145,Style_5,4.9,4.3,4.6,4.2,1.2,Sample review text 145,{},1557730565,1511472494,1992-03-18,847480070,Other,User_145
146,7.7,9791,2368,Beer_146,Style_6,1.6,2.5,3.2,1.0,3.2,Sample review text 146,{},1251766576,599655790,1991-01-17,722729601,Other,User_146
147,3.9,6648,1837,Beer_147,Style_7,1.2,4.3,2.2,1.5,4.0,Sample review text 147,{},1229581224,1676503447,1992-07-11,669077912,Female,User_147
148,8.9,2511,2632,Beer_148,Style_8,3.3,2.3,4.0,3.2,1.8,Sample review text 148,{},1333193508,737709687,1997-08-18,760148583,Other,User_148
149,8.1,3258,1938,Beer_149,Style_9,4.9,2.8,3.0,2.0,2.5,Sample review text 149,{},1012518092,1365365568,1997-08-17,798493045,Male,User_149
150,3.1,1231,1852,Beer_150,Style_0,2.7,3.5,1.6,1.4,1.1,Sample review text 150,{},1006577267,1039516631,1996-02-17,913881309,,User_150
151,4.8,3742,544,Beer_151,Style_1,1.8,1.3,3.3,2.4,4.4,Sample review text 151,{},1168366559,1537539769,1994-06-13,1046183516,Female,User_151
152,10.0,8841,1314,Beer_152,Style_2,3.1,4.8,4.6,2.1,4.1,Sample review text 152,{},1234618143,1526988569,1990-05-14,716924584,Female,User_152
153,5.5,5462,2880,Beer_153,Style_3,3.6,3.3,4.4,3.0,1.3,Sample review text 153,{},1503840411,1039350172,1992-01-13,660804170,,User_153
154,7.5,8749,964,Beer_154,Style_4,2.3,3.0,3.3,4.9,2.5,Sample review text 154,{},1563696092,1514213703,1991-04-12,1099823474,Other,User_154
155,5.8,1571,699,Beer_155,Style_5,3.9,4.4,2.5,1.5,4.8,Sample review text 155,{},1433138094,910533419,1992-05-10,782525747,Female,User_155
156,11.3,2202,828,Beer_156,Style_6,4.9,4.5,1.3,2.5,2.6,Sample review text 156,{},1292175125,1761637863,1994-08-18,647507670,,User_156
157,7.8,7609,2787,Beer_157,Style_7,4.6,3.1,2.9,4.7,3.1,Sample review text 157,{},1081215450,1768883204,1990-06-11,717246416,,User_157
158,9.3,1170,2407,Beer_158,Style_8,2.2,4.7,4.0,4.5,2.4,Sample review text 158,{},1059337020,896169086,1991-06-10,1021637196,Other,User_158
159,3.8,6151,1297,Beer_159,Style_9,2.3,1.3,2.4,2.6,3.4,Sample review text 159,{},1486638205,917278832,1990-02-13,1079725408,Other,User_159
160,3.4,7406,1201,Beer_160,Style_0,2.5,1.5,1.9,3.8,4.9,Sample review text 160,{},1635739947,1883794286,1991-04-12,712656192,Male,User_160
161,5.3,1188,2521,Beer_161,Style_1,2.6,3.4,4.7,1.4,5.0,Sample review text 161,{},1493152613,638113081,1992-07-18,1068029388,Other,User_161
162,5.8,5678,2424,Beer_162,Style_2,1.4,2.4,4.3,3.9,4.1,Sample review text 162,{},1700196115,947000961,1997-04-18,973435813,Other,User_162
163,9.2,8145,2907,Beer_163,Style_3,4.0,2.9,3.6,4.9,2.6,Sample review text 163,{},1109891436,921390679,1990-04-14,636162114,,User_163
164,8.1,6927,1901,Beer_164,Style_4,2.5,2.3,1.5,3.1,3.0,Sample review text 164,{},1504246615,1446157603,1993-03-18,861689167,Female,User_164
165,6.4,1599,2932,Beer_165,Style_5,4.5,2.6,1.6,3.0,2.4,Sample review text 165,{},1036132270,1674931992,1992-05-17,898134441,,User_165
166,8.9,6301,2912,Beer_166,Style_6,4.7,4.3,1.4,1.7,4.9,Sample review text 166,{},1716859950,583483681,1994-01-11,1002441542,Male,User_166
167,4.5,4576,2619,Beer_167,Style_7,1.1,3.4,3.5,3.5,3.8,Sample review text 167,{},1685777607,799585163,1995-05-18,1027498549,,User_167
168,3.6,6193,1937,Beer_168,Style_8,5.0,5.0,1.5,3.4,2.8,Sample review text 168,{},1475884082,1474363410,1996-08-17,632017012,Male,User_168
169,10.7,2870,626,Beer_169,Style_9,3.8,4.1,4.4,3.6,1.0,Sample review text 169,{},1192209334,1717718129,1996-05-14,953320002,Other,User_169
170,8.1,5261,2010,Beer_170,Style_0,3.1,2.1,5.0,1.1,3.1,Sample review text 170,{},1620530957,1746016873,1994-05-13,699996109,Female,User_170
171,8.8,3024,2120,Beer_171,Style_1,2.6,2.1,2.5,3.2,4.9,Sample review text 171,{},1046218948,1368639453,1991-06-18,996533439,Female,User_171
